listing_number,id,listing_url,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
163,354097,https://www.airbnb.com/rooms/354097,"Lodges le Mura 'Palazzo Vecchio' WIFI, AC, TERRACE",1792856,Ulrika,2012-02-22,"San Casciano in Val di Pesa, Toscana, Italy",6,Centro Storico,43.76196,11.24245,Entire home/apt,4,2.0,$100.00,21,51,81,356,0,0,,t,6,1.05
164,354112,https://www.airbnb.com/rooms/354112,"Amazing apartment with sunny terrace, WIFI, AC",1792856,Ulrika,2012-02-22,"San Casciano in Val di Pesa, Toscana, Italy",6,Centro Storico,43.76196,11.24245,Entire home/apt,4,2.0,$120.00,23,53,83,358,0,0,,t,6,0.52
165,359054,https://www.airbnb.com/rooms/359054,"Newly rennovated apartment with terrace, WIFI, AC",1792856,Ulrika,2012-02-22,"San Casciano in Val di Pesa, Toscana, Italy",6,Centro Storico,43.76196,11.24245,Entire home/apt,4,1.0,$100.00,22,52,82,357,1,0,,t,6,0.79
166,359058,https://www.airbnb.com/rooms/359058,"Fantastic apartment, Dome view, WIFI, AC, TERRACE",1792856,Ulrika,2012-02-22,"San Casciano in Val di Pesa, Toscana, Italy",6,Centro Storico,43.76196,11.24245,Entire home/apt,5,2.0,$125.00,20,50,80,355,1,0,,t,6,0.43
167,364977,https://www.airbnb.com/rooms/364977,RAFFAELLO BY THE DUOMO - BUFALINI APARTMENTS,1843248,Cinzia,2012-03-02,"Florence, Tuscany, Italy",16,Centro Storico,43.77368,11.25843,Entire home/apt,5,1.0,$60.00,12,28,33,302,1,0,,t,14,0.26
168,364978,https://www.airbnb.com/rooms/364978,MICHELANGELO BY THE DUOMO - BUFALINI APARTMENTS,1843248,Cinzia,2012-03-02,"Florence, Tuscany, Italy",16,Centro Storico,43.77368,11.25843,Entire home/apt,4,1.0,$60.00,2,27,49,324,4,1,,t,14,0.17
169,367374,https://www.airbnb.com/rooms/367374,"Lodges le Mura 'Ponte Vecchio' WIFI, AC, TERRACE",1792856,Ulrika,2012-02-22,"San Casciano in Val di Pesa, Toscana, Italy",6,Centro Storico,43.76196,11.24245,Entire home/apt,4,2.0,$130.00,22,52,82,357,0,0,,t,6,0.66
170,367427,https://www.airbnb.com/rooms/367427,"Lodges le Mura 'Uffizi' WIFI, AC, TERRACE",1792856,Ulrika,2012-02-22,"San Casciano in Val di Pesa, Toscana, Italy",6,Centro Storico,43.76196,11.24245,Entire home/apt,4,1.0,$115.00,23,53,83,358,0,0,,t,6,0.57
171,367487,https://www.airbnb.com/rooms/367487,Cozy Stay in the heart of Florence,1854501,Nadim,2012-03-04,Italia,1,Centro Storico,43.76856,11.26299,Entire home/apt,2,1.0,$46.00,9,9,9,9,8,0,,f,1,0.92
172,369523,https://www.airbnb.com/rooms/369523,Florence Nice Apartment,1863361,Stefano,2012-03-05,"Florence, Toscana, Italy",1,Gavinana Galluzzo,43.76141,11.29243,Entire home/apt,3,1.0,$61.00,12,12,12,183,0,0,,f,1,0.21
173,370604,https://www.airbnb.com/rooms/370604,Florence Giambologna Apartment,281027,Leah,2010-11-08,"Kuluin, Queensland, Australia",29,Centro Storico,43.76926,11.26689,Entire home/apt,4,1.0,$135.00,30,60,90,365,0,0,,f,6,0.02
174,372269,https://www.airbnb.com/rooms/372269,Florence Masaccio Apartment,281027,Leah,2010-11-08,"Kuluin, Queensland, Australia",29,Centro Storico,43.7693,11.26668,Entire home/apt,6,2.0,$220.00,27,57,87,362,0,0,,f,6,0.02
175,372361,https://www.airbnb.com/rooms/372361,Florence the Botticelli Apartment,281027,Leah,2010-11-08,"Kuluin, Queensland, Australia",29,Centro Storico,43.76933,11.26655,Entire home/apt,4,1.0,$135.00,27,57,87,362,0,0,,f,6,0.04
176,372431,https://www.airbnb.com/rooms/372431,Florence the Dante Apartment,281027,Leah,2010-11-08,"Kuluin, Queensland, Australia",29,Centro Storico,43.76939,11.26638,Entire home/apt,8,3.0,$250.00,25,55,85,360,1,0,,f,6,0.3
177,372687,https://www.airbnb.com/rooms/372687,Ghibellina 2b by SANTA CROCE CATHEDRAL,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.76976,11.26376,Entire home/apt,6,2.0,$183.00,0,0,0,0,0,0,048017LTN4059,t,125,0.09
178,374086,https://www.airbnb.com/rooms/374086,Monolocale 35 mq Firenze.,1882159,Salvatore,2012-03-08,"Florence, Toscana, Italy",2,Rifredi,43.79183,11.23966,Entire home/apt,2,1.0,$45.00,0,0,0,169,0,0,,t,1,0.25
179,374390,https://www.airbnb.com/rooms/374390,PonteVecchio accomodation florence,1869448,Mery,2012-03-06,"Florence, Toscana, Italy",2,Centro Storico,43.76769,11.25196,Entire home/apt,6,3.0,$135.00,0,0,0,46,0,0,,t,3,2.94
180,374731,https://www.airbnb.com/rooms/374731,appartamento mughetto,1885212,Patrizia,2012-03-08,"Florence, Toscana, Italy",10,Centro Storico,43.76607,11.24914,Entire home/apt,4,1.0,$69.00,22,52,82,306,0,0,,t,8,0.88
181,378542,https://www.airbnb.com/rooms/378542,La Stanza24 (Indipendent Studio),1900611,Paola Caterina,2012-03-11,"Florence, Tuscany, Italy",4,Centro Storico,43.77146,11.27073,Entire home/apt,2,1.0,$41.00,0,0,1,81,19,0,,f,4,2.46
182,379760,https://www.airbnb.com/rooms/379760,TERRACE with a VIEW... FLORENCE is ALL AROUND YOU,1906603,Niccolò,2012-03-12,"Florence, Toscana, Italy",3,Campo di Marte,43.78391,11.28177,Entire home/apt,4,1.0,$150.00,26,56,86,106,4,0,,f,1,1.11
183,384095,https://www.airbnb.com/rooms/384095,Comfortable private room,520878,Antonio,2011-04-19,"Florence, Tuscany, Italy",1,Centro Storico,43.77516,11.2525,Private room,2,1.0,$53.00,27,57,87,362,0,0,,t,1,0.72
184,393927,https://www.airbnb.com/rooms/393927,"Apartment, park garden pool, in Renaissance Villa",1778421,Guido,2012-02-20,"Florence, Toscana, Italy",4,Campo di Marte,43.77696,11.30987,Entire home/apt,5,2.0,$120.00,0,0,0,141,2,0,,f,4,0.28
185,393928,https://www.airbnb.com/rooms/393928,The Chapel: unique stylish minipool,1778421,Guido,2012-02-20,"Florence, Toscana, Italy",4,Campo di Marte,43.7788,11.31186,Entire home/apt,4,1.0,$80.00,0,0,0,107,1,0,,f,4,0.56
186,396710,https://www.airbnb.com/rooms/396710,FORTEZZA FIORENTINA TRIPLE ROOM external bathroom,1008798,Massimo,2011-08-23,"Florence, Toscana, Italy",6,Centro Storico,43.78065,11.24577,Hotel room,3,1.0,$69.00,0,0,0,225,0,0,,f,4,0.71
187,396714,https://www.airbnb.com/rooms/396714,FORTEZZA FIORENTINA double  room external bathroom,1008798,Massimo,2011-08-23,"Florence, Toscana, Italy",6,Centro Storico,43.78049,11.24462,Hotel room,2,1.0,$54.00,0,0,3,247,0,0,,f,4,2.31
188,398475,https://www.airbnb.com/rooms/398475,FLORENCE STUDIO ..10 min at center,1989464,Claudia,2012-03-22,"Florence, Tuscany, Italy",2,Centro Storico,43.78497,11.24146,Entire home/apt,2,1.0,$50.00,13,43,54,55,1,0,,t,1,0.11
189,399107,https://www.airbnb.com/rooms/399107,"Magnolia, modern & quite flat Ponte Vecchio",488317,Diana,2011-04-06,"Florence, Tuscany, Italy",35,Centro Storico,43.76525,11.25353,Entire home/apt,3,1.0,$115.00,23,53,83,344,7,0,048017LTN3285,t,34,0.27
190,403424,https://www.airbnb.com/rooms/403424,A pochi passi da Ponte Vecchio,2012253,Liliana,2012-03-26,"Florence, Tuscany, Italy",1,Centro Storico,43.76795,11.25168,Entire home/apt,2,,$18.00,0,0,0,0,0,0,,t,1,1.11
191,403501,https://www.airbnb.com/rooms/403501,Florence central secure Ammanati Apartment,281027,Leah,2010-11-08,"Kuluin, Queensland, Australia",29,Centro Storico,43.76894,11.26785,Entire home/apt,2,1.0,$95.00,27,57,87,362,1,0,,f,6,0.2
192,404882,https://www.airbnb.com/rooms/404882,"Casa del Pozzo: Florence hill, entire house, view",1778421,Guido,2012-02-20,"Florence, Toscana, Italy",4,Campo di Marte,43.78521,11.31336,Entire home/apt,5,2.0,$71.00,0,0,0,0,0,0,,f,4,0.04
193,405278,https://www.airbnb.com/rooms/405278,La Casina Country House in a Typical Tuscan Garden,643110,Isabella,2011-05-30,"Florence, Toscana, Italy",5,Rifredi,43.79713,11.25299,Entire home/apt,2,1.0,$108.00,14,44,74,164,1,0,,f,6,0.05
194,405633,https://www.airbnb.com/rooms/405633,B&B Casa Tintori - Light Blue Room,762706,Riccardo,2011-06-30,"Florence, Tuscany, Italy",8,Centro Storico,43.76781,11.25886,Hotel room,2,1.0,$63.00,20,41,67,314,8,1,,t,6,0.27
195,406841,https://www.airbnb.com/rooms/406841,Splendid apartment in the center,2026854,Maria,2012-03-28,"Florence, Toscana, Italy",1,Centro Storico,43.77676,11.25516,Entire home/apt,4,2.0,$75.00,0,0,0,0,0,0,,f,1,0.01
196,411760,https://www.airbnb.com/rooms/411760,Lovely apartment center of Florence,2049453,Lorenza,2012-04-01,"Florence, Toscana, Italy",0,Centro Storico,43.76929,11.25495,Entire home/apt,2,1.0,$90.00,0,0,5,95,0,0,,f,1,0.69
197,412264,https://www.airbnb.com/rooms/412264,"""Piccolo Pepi"" - superior flat with all comforts",688861,Massimo,2011-06-11,"Florence, Toscana, Italy",7,Centro Storico,43.77291,11.26426,Entire home/apt,7,2.0,$146.00,22,52,82,318,2,0,,t,3,0.16
198,413600,https://www.airbnb.com/rooms/413600,SuperCentral flat -Lovely terrace,2057721,Francesca,2012-04-02,Austria,1,Centro Storico,43.76631,11.24384,Entire home/apt,4,2.0,$80.00,0,0,0,211,4,0,,f,1,0.77
199,422655,https://www.airbnb.com/rooms/422655,Central Bright apartment,506219,Elisabetta E Giovanni,2011-04-13,"Florence, Toscana, Italy",6,Centro Storico,43.7691,11.24395,Entire home/apt,4,2.0,$67.00,0,0,0,0,0,0,,t,2,0.61
200,423556,https://www.airbnb.com/rooms/423556,Central apt amazing view!500m from SMN,2106321,Chiara E Stefania,2012-04-10,"Florence, Toscana, Italy",2,Centro Storico,43.77345,11.2436,Entire home/apt,6,2.0,$173.00,11,41,71,283,5,0,,f,2,0.38
201,424065,https://www.airbnb.com/rooms/424065,Roof Terrace and Breathtaking View,2107675,Laura,2012-04-10,"Florence, Tuscany, Italy",1,Centro Storico,43.77258,11.26095,Entire home/apt,4,1.0,$83.00,21,51,81,261,18,1,,f,1,2.67
202,430349,https://www.airbnb.com/rooms/430349,Lovely & Strategic Apt in Florence,2102208,Marie-Claire,2012-04-09,"Florence, Toscana, Italy",2,Centro Storico,43.77851,11.25196,Entire home/apt,6,2.0,$94.00,0,29,59,334,0,0,,f,1,0.79
203,441620,https://www.airbnb.com/rooms/441620,Luxury Suite with Private Terrace,1286344,Mario,2011-10-13,"San Francisco, California, United States",3,Centro Storico,43.77871,11.25659,Entire home/apt,2,1.0,$270.00,30,60,90,365,1,0,,t,2,0.16
204,444641,https://www.airbnb.com/rooms/444641,Florence Ponte Vecchio Apartment,2209493,Pierpaolo,2012-04-24,"Florence, Toscana, Italy",1,Centro Storico,43.76804,11.25172,Entire home/apt,4,1.0,$60.00,0,0,0,78,0,0,,f,1,1.0
205,445904,https://www.airbnb.com/rooms/445904,Pietrapiana flat-quiet and central,2214514,Caterina,2012-04-24,"Florence, Tuscany, Italy",1,Centro Storico,43.77032,11.26547,Entire home/apt,4,1.0,$90.00,15,45,75,298,0,0,,t,1,2.12
206,455460,https://www.airbnb.com/rooms/455460,Florentine Heart/Italian Soul/Quad,1676313,Elisa & Mirko,2012-01-30,"Tuscany, Italy",2,Centro Storico,43.78287,11.24009,Private room,4,1.0,$35.00,0,0,0,169,0,0,,f,2,0.46
207,456996,https://www.airbnb.com/rooms/456996,"BB Casa Schlatter, Painter's Atelier. Room #2",2272298,Alessandra,2012-05-02,"Florence, Toscana, Italy",4,Campo di Marte,43.77961,11.27975,Private room,2,1.0,$95.00,22,52,82,297,0,0,,f,4,
208,457579,https://www.airbnb.com/rooms/457579,Studio apartment,1280806,Maria Cristina,2011-10-12,"Florence, Toscana, Italy",23,Centro Storico,43.77361,11.24174,Entire home/apt,3,1.0,$90.00,29,59,89,364,0,0,,f,18,0.02
209,457595,https://www.airbnb.com/rooms/457595,View on the River apart,1280806,Maria Cristina,2011-10-12,"Florence, Toscana, Italy",23,Centro Storico,43.77426,11.24302,Entire home/apt,6,2.0,$210.00,0,0,0,77,0,0,,f,18,0.03
210,463877,https://www.airbnb.com/rooms/463877,BB Casa Schlatter/Artist's Atelier. triple bedroom,2272298,Alessandra,2012-05-02,"Florence, Toscana, Italy",4,Campo di Marte,43.77954,11.27986,Private room,4,1.0,$120.00,22,52,82,297,0,0,,f,4,
211,463942,https://www.airbnb.com/rooms/463942,BB Casa Schlatter Artist's Atelier. Room #3,2272298,Alessandra,2012-05-02,"Florence, Toscana, Italy",4,Campo di Marte,43.78144,11.28003,Private room,2,1.0,$70.00,21,51,81,296,1,0,,f,4,0.09
212,463966,https://www.airbnb.com/rooms/463966,Artist atelier-Florence center,2272298,Alessandra,2012-05-02,"Florence, Toscana, Italy",4,Campo di Marte,43.77976,11.2801,Entire home/apt,8,3.0,$200.00,17,47,77,292,4,0,,f,4,0.19
213,464111,https://www.airbnb.com/rooms/464111,Studio Florence historical center,2293087,Alessandro,2012-05-04,"Florence, Toscana, Italy",1,Centro Storico,43.77098,11.26275,Entire home/apt,2,1.0,$50.00,21,51,81,356,4,0,,f,1,1.08
214,469515,https://www.airbnb.com/rooms/469515,"2 bedrooms, 2 bathrooms, in the heart of Florence",2329953,Giulia,2012-05-09,"La Spezia, Liguria, Italy",24,Centro Storico,43.77023,11.26429,Entire home/apt,5,2.0,$99.00,13,43,73,88,5,1,,t,3,1.72
215,471267,https://www.airbnb.com/rooms/471267,Quiet & Central Nest in Florence!,96905,Elisabetta And Claudia,2010-03-21,"Florence, Tuscany, Italy",3,Centro Storico,43.78066,11.25774,Entire home/apt,4,1.0,$68.00,19,20,20,164,4,0,,t,3,0.95
216,472854,https://www.airbnb.com/rooms/472854,Florence Flat with garden &  free parking,616226,Christina,2011-05-23,"Florence, Tuscany, Italy",3,Centro Storico,43.76797,11.2673,Entire home/apt,6,3.0,$155.00,11,41,71,161,0,0,,f,2,1.46
217,477975,https://www.airbnb.com/rooms/477975,Your  room in Florence!,2293772,Davide,2012-05-04,"Florence, Tuscany, Italy",2,Centro Storico,43.76636,11.2484,Private room,1,1.0,$33.00,0,16,46,321,6,0,,f,2,2.04
218,479657,https://www.airbnb.com/rooms/479657,Central and cozy PALAZZO ALFANI,2272750,Francesca,2012-05-02,"Florence, Toscana, Italy",5,Centro Storico,43.77426,11.25699,Entire home/apt,4,1.0,$75.00,15,45,73,294,1,0,,f,5,0.09
219,482051,https://www.airbnb.com/rooms/482051,well-lit quiet central private room,2387280,Sandra,2012-05-16,"Florence, Toscana, Italy",1,Rifredi,43.78803,11.25877,Private room,2,1.0,$45.00,25,55,85,360,0,0,,f,1,0.29
220,485541,https://www.airbnb.com/rooms/485541,Independent studio near SantaMariaNovella Station,2403819,Francesco,2012-05-18,"Florence, Tuscany, Italy",3,Centro Storico,43.78005,11.23944,Entire home/apt,3,1.0,$43.00,16,46,76,346,11,0,,t,3,2.35
221,488856,https://www.airbnb.com/rooms/488856,TRADITIONAL-Santo Spirito-WIFI+AIR CO.!,2418500,Cristina E Bettina,2012-05-20,"Florence, Toscana, Italy",3,Centro Storico,43.76591,11.24656,Entire home/apt,4,1.0,$65.00,0,0,0,107,0,0,,f,1,1.46
222,490904,https://www.airbnb.com/rooms/490904,Appartamento in Santo Spirito,2415507,Claudio,2012-05-19,"Florence, Tuscany, Italy",1,Centro Storico,43.76461,11.245603,Entire home/apt,2,1.0,$63.00,0,0,0,0,2,0,,f,1,0.03
223,491105,https://www.airbnb.com/rooms/491105,"ampia, luminosa e silenziosa stanza privata",2427585,Sara,2012-05-21,"Florence, Tuscany, Italy",3,Campo di Marte,43.79273,11.27445,Private room,2,1.0,$55.00,16,46,76,351,0,0,,f,3,0.33
224,491135,https://www.airbnb.com/rooms/491135,Wonderful Room with Duomo view,2427914,Donatella,2012-05-21,"Florence, Toscana, Italy",2,Centro Storico,43.77036,11.26057,Private room,2,1.0,$50.00,7,34,53,292,29,3,,f,1,3.22
225,494454,https://www.airbnb.com/rooms/494454,NEW 1 bedroom flat in the center,369018,Guido,2011-01-30,"Florence, Tuscany, Italy",2,Centro Storico,43.7656,11.24738,Entire home/apt,2,1.0,$75.00,0,0,0,108,0,0,,f,2,0.02
226,497538,https://www.airbnb.com/rooms/497538,Panoramic apartment in the center of Florence!,2456439,Andrea,2012-05-24,"Florence, Toscana, Italy",1,Centro Storico,43.7684,11.24701,Entire home/apt,2,1.0,$65.00,24,54,83,83,1,1,,f,1,0.39
227,500522,https://www.airbnb.com/rooms/500522,A piece of pure charme in downtown,2469689,Leonardo E Giulia,2012-05-26,"Florence, Toscana, Italy",1,Centro Storico,43.76375,11.26241,Entire home/apt,2,,$40.00,10,20,42,317,0,0,,f,1,0.47
228,500709,https://www.airbnb.com/rooms/500709,MODERN NEW FLAT CLOSE TO CITY CENTER,2470519,Andrea,2012-05-26,"Impruneta, Toscana, Italy",2,Centro Storico,43.78455,11.23301,Entire home/apt,4,1.0,$56.00,23,53,83,358,0,0,,f,2,0.53
229,501537,https://www.airbnb.com/rooms/501537,Gorgeous apt with wonderful view,1519484,Paola,2011-12-19,"Florence, Toscana, Italy",1,Centro Storico,43.77398,11.2451,Entire home/apt,6,1.0,$131.00,0,30,60,290,0,0,,f,1,0.29
230,503147,https://www.airbnb.com/rooms/503147,B&B FORTEZZA FIORENTINA SINGLE ROOM,1008798,Massimo,2011-08-23,"Florence, Toscana, Italy",6,Centro Storico,43.77937,11.24602,Hotel room,1,1.0,$39.00,0,0,8,253,0,0,,f,4,0.08
231,504372,https://www.airbnb.com/rooms/504372,Apartment with Private Garden,2383090,Maia,2012-05-15,"Haiku-Pauwela, Hawaii, United States",2,Centro Storico,43.76385,11.23997,Entire home/apt,4,1.0,$69.00,22,52,82,321,5,0,,t,1,0.33
232,505141,https://www.airbnb.com/rooms/505141,Art appartment Santo Spirito Matteo,1645859,David,2012-01-24,"Florence, Tuscany, Italy",59,Centro Storico,43.76619,11.24702,Entire home/apt,4,1.0,$81.00,25,55,85,360,7,1,,t,29,3.49
233,505480,https://www.airbnb.com/rooms/505480,OLTRARNO: BRIGHT AND SPACIOUS APART,1034151,Marta,2011-08-29,"Florence, Tuscany, Italy",2,Isolotto Legnaia,43.77171,11.23877,Entire home/apt,4,2.0,$200.00,20,50,80,355,0,0,,f,2,0.06
234,508993,https://www.airbnb.com/rooms/508993,Pergola 2b VIEW OF DUOMO,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.7751,11.26302,Entire home/apt,4,2.0,$200.00,22,52,82,353,0,0,048017LTN3739,t,125,0.08
235,514363,https://www.airbnb.com/rooms/514363,"Loft in P.zza Santa Croce, Firenze",2533502,Claudio,2012-06-03,"Florence, Toscana, Italy",2,Centro Storico,43.77012,11.26274,Entire home/apt,2,1.0,$70.00,0,0,0,199,0,0,,f,2,0.14
236,521618,https://www.airbnb.com/rooms/521618,Firenze★ Oltrarno-Pitti palace area,2428104,Elena,2012-05-21,"Castiglion Fiorentino, Tuscany, Italy",9,Centro Storico,43.76578,11.24858,Entire home/apt,2,1.0,$44.00,0,0,0,0,0,0,,f,1,0.98
237,522612,https://www.airbnb.com/rooms/522612,"Firenze ""La casa dell'Ortensia""",313909,Giammarco,2010-12-09,"Florence, Tuscany, Italy",2,Gavinana Galluzzo,43.76148,11.28421,Entire home/apt,2,1.0,$60.00,0,0,4,94,0,0,,f,1,0.08
238,523048,https://www.airbnb.com/rooms/523048,MARIA - Apartment facing large terrace,2377476,Clara E Carlo,2012-05-15,"Florence, Toscana, Italy",14,Centro Storico,43.75932,11.24215,Entire home/apt,4,1.0,$90.00,26,56,86,361,0,0,,f,14,
239,523095,https://www.airbnb.com/rooms/523095,STUDIOLO - Charming Studio in a 1860' Villa,2377476,Clara E Carlo,2012-05-15,"Florence, Toscana, Italy",14,Centro Storico,43.75865,11.2429,Entire home/apt,1,1.0,$65.00,4,34,64,339,0,0,,f,14,0.04
240,523221,https://www.airbnb.com/rooms/523221,TAVERNETTA - Apartment in quiet residential area,2377476,Clara E Carlo,2012-05-15,"Florence, Toscana, Italy",14,Gavinana Galluzzo,43.73593,11.24707,Entire home/apt,2,2.0,$35.00,29,59,89,364,0,0,,f,14,
241,523361,https://www.airbnb.com/rooms/523361,A small apartment in San Zanobi ...,2510554,Francesco,2012-05-31,"Florence, Toscana, Italy",1,Centro Storico,43.7812,11.25543,Entire home/apt,4,2.0,$75.00,0,0,0,77,0,0,,f,1,1.03
242,524676,https://www.airbnb.com/rooms/524676,"Studio Flat Ponte Vecchio, WiFi-AC",2579641,Guglielmo,2012-06-08,"Florence, Tuscany, Italy",3,Centro Storico,43.7678,11.25149,Entire home/apt,2,1.0,$62.00,22,52,82,357,17,1,,t,3,2.56
243,527603,https://www.airbnb.com/rooms/527603,Open-space Central Florence DOME,2583814,Elena,2012-06-08,"Florence, Toscana, Italy",2,Centro Storico,43.77079,11.25723,Entire home/apt,3,1.0,$70.00,0,0,0,134,0,0,,t,2,0.58
244,531876,https://www.airbnb.com/rooms/531876,Loft Apartment in Historic Central Florence,1871340,Stefano,2012-03-06,"Cape Town, Western Cape, South Africa",1,Centro Storico,43.76792,11.24975,Entire home/apt,3,1.0,$98.00,0,26,32,55,4,1,,f,1,0.95
245,531903,https://www.airbnb.com/rooms/531903,LOFT S. DAMIANO - Large Studio in residential area,2377476,Clara E Carlo,2012-05-15,"Florence, Toscana, Italy",14,Gavinana Galluzzo,43.75237,11.23798,Entire home/apt,2,1.0,$80.00,15,45,75,350,0,0,,f,14,
246,540731,https://www.airbnb.com/rooms/540731,Spectacular private terrace Duomo,2658126,Giulio,2012-06-17,"Vevey, Vaud, Switzerland",1,Centro Storico,43.77318,11.25748,Entire home/apt,4,1.0,$107.00,13,41,65,240,38,3,,t,1,4.06
247,545728,https://www.airbnb.com/rooms/545728,Dimora Dionisio B&B - Triple Room,2682761,Francesco,2012-06-19,"Florence, Tuscany, Italy",1,Centro Storico,43.77273,11.2434,Private room,3,1.0,$63.00,15,45,75,75,12,0,,f,2,3.04
248,547531,https://www.airbnb.com/rooms/547531,B&B LORENZO DE'MEDICI DREAM'S ROOM FLORENCE CENTER,2690055,Carmine,2012-06-20,"Florence, Tuscany, Italy",3,Centro Storico,43.77604,11.25313,Private room,2,1.0,$50.00,0,0,0,0,0,0,,t,8,2.28
249,550130,https://www.airbnb.com/rooms/550130,Apt Niccolo' a Ponte Vecchio-Heart of Florence,2703692,Riccardo,2012-06-21,"Florence, Tuscany, Italy",5,Centro Storico,43.76944,11.25912,Entire home/apt,4,1.0,$56.00,5,5,5,230,1,0,,f,6,0.31
250,552838,https://www.airbnb.com/rooms/552838,bandinelli flat - florence city close to center,2712079,Claudio,2012-06-22,"Florence, Tuscany, Italy",1,Isolotto Legnaia,43.77412,11.22964,Entire home/apt,1,1.0,$25.00,0,8,8,57,2,0,,f,1,0.47
251,556164,https://www.airbnb.com/rooms/556164,Marignolle relais & charme Florence,2735154,Lorenzo,2012-06-25,"Florence, Tuscany, Italy",4,Gavinana Galluzzo,43.74434,11.21535,Hotel room,3,1.0,$189.00,30,60,90,341,0,0,,t,5,0.02
252,559019,https://www.airbnb.com/rooms/559019,Living in the heart of Florence,2748346,Sophie,2012-06-26,"San Casciano in Val di Pesa, Toscana, Italy",2,Centro Storico,43.76601,11.24161,Entire home/apt,5,1.0,$80.00,0,0,0,138,0,0,,f,2,0.2
253,559330,https://www.airbnb.com/rooms/559330,Apt Riccardo 100m from PonteVecchio-Uffizi gallery,2703692,Riccardo,2012-06-21,"Florence, Tuscany, Italy",5,Centro Storico,43.76921,11.25922,Entire home/apt,7,1.0,$86.00,23,53,83,354,1,0,,f,6,1.08
254,567086,https://www.airbnb.com/rooms/567086,Apt David 100m from Ponte Vecchio-Uffizi Gallery,2703692,Riccardo,2012-06-21,"Florence, Tuscany, Italy",5,Centro Storico,43.76887,11.25772,Entire home/apt,5,1.0,$96.00,30,57,57,260,1,0,,f,6,0.84
255,567087,https://www.airbnb.com/rooms/567087,Apt Iris 100m from Ponte Vecchio-Uffizi Gallery,2703692,Riccardo,2012-06-21,"Florence, Tuscany, Italy",5,Centro Storico,43.76934,11.25833,Entire home/apt,6,1.0,$87.00,25,55,85,360,0,0,,f,6,0.53
256,574603,https://www.airbnb.com/rooms/574603,Silent Oltrarno,2827261,Maurizio,2012-07-04,"Florence, Toscana, Italy",1,Centro Storico,43.76781,11.24412,Entire home/apt,5,1.0,$87.00,13,39,69,249,32,2,,t,1,4.08
257,577350,https://www.airbnb.com/rooms/577350,Duomo Great Room Private Bathroom,2839378,Claudio,2012-07-05,"Florence, Tuscany, Italy",1,Centro Storico,43.77523,11.25625,Private room,1,1.0,$35.00,6,15,34,302,34,6,,f,1,3.99
258,579838,https://www.airbnb.com/rooms/579838,⭐️Happy Florence Santa Croce 1⭐️,2852226,Paola,2012-07-06,"Tuscany, Italy",5,Centro Storico,43.7704,11.26296,Entire home/apt,4,1.0,$62.00,19,49,79,315,17,1,,t,6,2.99
259,581936,https://www.airbnb.com/rooms/581936,Two-room apartm. near the Cathedral,2865554,Annarita,2012-07-08,"Frankfurt, Hessen, Germany",1,Centro Storico,43.78021,11.25894,Entire home/apt,4,1.0,$99.00,0,0,0,0,1,0,,t,1,0.3
260,584756,https://www.airbnb.com/rooms/584756,A place to stay,2793193,Gianpaolo,2012-07-01,"Florence, Toscana, Italy",1,Centro Storico,43.76356,11.24366,Entire home/apt,2,1.0,$200.00,29,59,89,364,0,0,,f,1,1.14
261,587379,https://www.airbnb.com/rooms/587379,"Campo di Marte:  fitness, green..!!",2896639,Cristy,2012-07-10,"Florence, Tuscany, Italy",2,Campo di Marte,43.77758,11.28696,Entire home/apt,2,1.0,$60.00,3,13,16,222,1,0,,f,1,1.88
262,588021,https://www.airbnb.com/rooms/588021,Art Flat Florence,2900771,Stefano,2012-07-11,"Florence, Toscana, Italy",1,Centro Storico,43.77168,11.25272,Private room,2,1.0,$78.00,25,55,85,357,7,0,,f,1,5.01
263,591218,https://www.airbnb.com/rooms/591218,ISOLOTTO'S HOUSE,2917596,Daniele,2012-07-12,"Florence, Tuscany, Italy",1,Isolotto Legnaia,43.77607,11.21127,Entire home/apt,2,1.0,$48.00,5,16,46,316,0,0,,f,1,0.21
264,596936,https://www.airbnb.com/rooms/596936,Luxury Loft near Ponte Vecchio,2951711,Maria Luisa,2012-07-16,"Florence, Toscana, Italy",7,Centro Storico,43.76557,11.24906,Entire home/apt,6,3.0,$160.00,0,0,0,0,0,0,,f,5,3.44
265,601613,https://www.airbnb.com/rooms/601613,Lungarno Garden,1280806,Maria Cristina,2011-10-12,"Florence, Toscana, Italy",23,Centro Storico,43.77144,11.24656,Entire home/apt,6,3.0,$220.00,0,0,0,199,0,0,,f,18,0.06
266,606424,https://www.airbnb.com/rooms/606424,TOP LOCATION! 1 min OLD BRIDGE UNLIMITED FREE WIFI,3003751,Giulia,2012-07-20,"Impruneta, Tuscany, Italy",1,Centro Storico,43.76872,11.25029,Entire home/apt,2,1.0,$69.00,0,0,0,0,0,0,048017LTN1467,f,1,1.8
