listing_number,id,listing_url,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
89,152738,https://www.airbnb.com/rooms/152738,Tony's Rental rooms,734784,Antonio,2011-06-23,"Florence, Tuscany, Italy",4,Centro Storico,43.76431,11.24667,Private room,2,1.0,$49.00,0,0,27,302,0,0,,f,5,
90,154902,https://www.airbnb.com/rooms/154902,Huge private room,745107,Gigi,2011-06-26,"Florence, Tuscany, Italy",3,Centro Storico,43.78009,11.24325,Private room,2,1.0,$16.00,18,48,78,347,0,0,,f,3,0.63
91,160310,https://www.airbnb.com/rooms/160310,Romantic Hideaway Near Central Rail Station,768323,Paolo,2011-07-02,"Florence, Toscana, Italy",6,Centro Storico,43.77521,11.24534,Entire home/apt,2,1.0,$46.00,15,45,73,336,26,6,,t,4,1.83
92,160352,https://www.airbnb.com/rooms/160352,Love Nest Near Central Rail Station,768323,Paolo,2011-07-02,"Florence, Toscana, Italy",6,Centro Storico,43.77586,11.2443,Entire home/apt,2,1.0,$44.00,10,38,66,325,24,3,,t,4,2.31
93,160366,https://www.airbnb.com/rooms/160366,Historic Apartment near Central Station,768323,Paolo,2011-07-02,"Florence, Toscana, Italy",6,Centro Storico,43.77427,11.24729,Entire home/apt,3,1.0,$45.00,8,38,68,329,47,5,,t,4,4.5
94,160399,https://www.airbnb.com/rooms/160399,"Ponte Vecchio Apartment, Private & Cosy",768323,Paolo,2011-07-02,"Florence, Toscana, Italy",6,Centro Storico,43.76584,11.2544,Entire home/apt,3,1.0,$42.00,8,38,66,330,52,7,,t,4,3.3
95,161134,https://www.airbnb.com/rooms/161134,New Appartment River Front,992661,David,2011-08-19,"Agliana, Tuscany, Italy",1,Isolotto Legnaia,43.77278,11.23709,Entire home/apt,2,1.0,$74.00,0,18,23,298,0,0,,f,1,
96,162037,https://www.airbnb.com/rooms/162037,Window on the Park of Florence,774842,Laura,2011-07-04,"Florence, Tuscany, Italy",3,Rifredi,43.78974,11.25802,Private room,2,1.0,$25.00,0,0,0,0,5,1,,t,1,3.96
97,167190,https://www.airbnb.com/rooms/167190,Double economy near the center,669835,Laura,2011-06-06,"Prato, Toscana, Italy",4,Rifredi,43.79136,11.24504,Shared room,2,1.0,$48.00,15,45,75,350,0,0,,f,4,0.02
98,168970,https://www.airbnb.com/rooms/168970,Pinzochere PT by Santa Croce,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.76958,11.26351,Entire home/apt,4,1.0,$146.00,0,0,0,0,0,0,048017LTN4278,t,125,0.01
99,174420,https://www.airbnb.com/rooms/174420,Florence Historycal centre -Tuscany,833421,Valentina,2011-07-18,"Turin, Piedmont, Italy",1,Centro Storico,43.77225,11.24849,Entire home/apt,4,2.0,$49.00,13,30,31,293,7,0,,f,1,0.83
100,175290,https://www.airbnb.com/rooms/175290,Bilocale affitto,838022,Maura,2011-07-19,"Florence, Toscana, Italy",1,Rifredi,43.79584,11.23991,Entire home/apt,2,1.0,$48.00,16,46,76,351,0,0,,f,1,
101,182820,https://www.airbnb.com/rooms/182820,Pergola 2b by Duomo,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189,Centro Storico,43.77387,11.26177,Entire home/apt,4,2.0,$207.00,0,0,0,0,0,0,,t,125,
