census_tract_id,count_airbnb_listings,P1
480170060585,4,208
480170060586,14,420
480170060588,19,3534
480170060589,32,4608
480170060590,13,2184
480170060591,14,14
480170060592,8,1264
480170060593,26,7176
480170060594,2,952
480170060595,11,869
480170060597,19,0
480170060598,1,256
480170060599,23,2714
480170060600,1,118
480170060601,6,162
480170060602,2,312
480170060603,20,2160
480170060604,2,0
480170060605,20,1520
480170060606,56,18144
480170060607,8,0
480170060608,16,672
480170060609,13,195
480170060612,5,355
480170060613,4,140
480170060614,15,3165
480170060615,2,698
480170060616,4,1528
480170060617,14,840
480170060619,17,221
480170060620,3,615
480170060621,6,60
480170060622,27,2970
480170060623,14,504
480170060624,2,632
480170060625,11,484
480170060626,25,6650
480170060628,20,3820
480170060629,20,1300
480170060630,12,384
480170060631,10,1290
480170060632,12,2616
480170060633,2,50
480170060634,2,898
480170060635,2,300
480170060636,4,68
480170060639,4,0
480170060640,5,175
480170060641,12,228
480170060642,31,1767
480170060643,22,682
480170060644,13,169
480170060645,4,196
480170060646,3,2277
480170060647,6,132
480170060648,13,1170
480170060649,5,1405
480170060650,33,3597
480170060652,17,3366
480170060653,19,1710
480170060654,17,3638
480170060655,13,1469
480170060656,1,217
480170060659,11,4686
480170060660,12,408
480170060661,1,132
480170060662,11,253
480170060663,5,0
480170060664,5,120
480170060665,6,156
480170060666,6,120
480170060667,9,1008
480170060668,11,880
480170060669,9,207
480170060671,30,5160
480170060673,15,4545
480170060674,15,2115
480170060675,4,0
480170060676,1,7
480170060677,2,16
480170060678,2,728
480170060681,2,4
480170060682,29,1566
480170060683,17,1326
480170060684,2,264
480170060685,15,5265
480170060686,4,0
480170060687,6,4344
480170060689,3,0
480170060690,2,0
480170060691,3,0
480170060692,4,216
480170060693,16,672
480170060694,13,4823
480170060695,2,6
480170060699,3,300
480170060700,18,270
480170060701,11,176
480170060702,8,328
480170060703,6,132
480170060704,3,156
480170060705,8,0
480170060706,11,704
480170060707,11,594
480170060709,10,190
480170060710,8,2600
480170060711,20,260
480170060712,1,14
480170060713,12,216
480170060714,3,78
480170060715,13,975
480170060717,6,1344
480170060718,3,12
480170060719,2,1102
480170060720,6,6
480170060721,9,0
480170060722,1,125
480170060724,6,0
480170060725,5,45
480170060726,1,154
480170060727,1,52
480170060728,1,0
480170060730,9,468
480170060731,12,3804
480170060732,4,692
480170060733,1,6
480170060734,28,3080
480170060735,12,588
480170060738,5,20
480170060740,9,1143
480170060741,9,432
480170060743,8,168
480170060746,15,855
480170060747,22,2596
480170060748,8,376
480170060750,9,234
480170060751,2,0
480170060752,7,98
480170060753,11,264
480170060754,22,2530
480170060755,16,2320
480170060756,15,2025
480170060757,10,430
480170060758,12,0
480170060759,2,64
480170060760,13,1716
480170060761,6,0
480170060762,2,76
480170060763,45,17055
480170060764,3,207
480170060765,1,16
480170060766,2,586
480170060767,6,402
480170060768,8,10544
480170060771,11,1012
480170060772,4,3876
480170060774,2,172
480170060775,2,84
480170060777,9,135
480170060779,7,1862
480170060781,19,7543
480170060782,20,1320
480170060783,3,1506
480170060784,1,377
480170060785,7,749
480170060787,15,3075
480170060789,8,488
480170060790,4,8
480170060791,15,165
480170060793,4,0
480170060795,5,135
480170060796,7,336
480170060798,24,1920
480170060799,17,816
480170060800,13,897
480170060801,1,369
480170060802,3,417
480170060803,8,632
480170060804,46,8740
480170060807,1,146
480170060809,4,56
480170060810,12,888
480170060812,20,1380
480170060815,29,7946
480170060816,2,10
480170060817,12,2748
480170060818,79,24411
480170060819,4,2588
480170060820,1,187
480170060821,1,13
480170060822,12,276
480170060823,2,26
480170060824,2,16
480170060825,15,1695
480170060826,2,474
480170060827,1,0
480170060828,3,1185
480170060829,11,66
480170060830,1,907
480170060831,1,127
480170060833,7,70
480170060835,6,1854
480170060836,15,675
480170060837,2,28
480170060838,19,1349
480170060839,9,315
480170060840,4,116
480170060841,6,1110
480170060842,33,4983
480170060843,6,1392
480170060844,15,375
480170060845,1,147
480170060846,19,1349
480170060847,32,15104
480170060848,1,11
480170060850,2,432
480170060851,7,623
480170060852,1,66
480170060855,9,612
480170060858,1,0
480170060859,1,311
480170060861,16,3632
480170060862,1,69
480170060863,1,76
480170060864,9,3087
480170060865,22,16610
480170060866,10,2910
480170060867,18,1800
