,id,listing_url,last_scraped,host_id,host_since,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial
4869,22913914,https://www.airbnb.com/rooms/22913914,2021-12-17,7439057,2013-07-12,35,Centro Storico,43.76026,11.24118,Private room,4,2.0,83.0,1.8,0,0,0,93,6,0,0,,t,31,0.13,0.0,0.0,0.0,0,0,1,0,0,0,1,1,1859.8996458138147,1,0,0,0,0,0,0,0,1,1
4870,22916732,https://www.airbnb.com/rooms/22916732,2021-12-17,154042407,2017-10-10,2,Centro Storico,43.76977,11.26377,Entire home/apt,3,1.0,45.0,3.0,12,42,67,320,114,24,1,,t,3,2.53,144.0,6480.0,39.45205479452055,0,1,0,0,1,0,1,1,726.8109083778262,1,0,0,0,0,0,0,1,0,1
4871,22932117,https://www.airbnb.com/rooms/22932117,2021-12-17,169827628,2018-01-25,3,Centro Storico,43.77394,11.24507,Entire home/apt,6,2.0,60.0,1.0,8,38,64,336,51,1,0,048017LTN0085,f,2,1.13,4.0,240.0,1.095890410958904,0,1,1,0,0,0,1,0,884.9169845602512,1,0,0,0,0,0,0,1,1,1
4872,22933280,https://www.airbnb.com/rooms/22933280,2021-12-17,82590894,2016-07-09,2,Centro Storico,43.76908,11.24786,Entire home/apt,4,1.0,53.0,1.0,10,36,59,73,16,0,0,,t,2,0.36,0.0,0.0,0.0,0,1,0,0,1,0,1,1,793.1118526102497,1,0,0,0,0,0,0,1,0,1
4873,22935305,https://www.airbnb.com/rooms/22935305,2021-12-17,133405218,2017-06-04,2,Centro Storico,43.77034,11.2598,Entire home/apt,6,2.0,59.0,1.0,6,33,59,310,224,47,8,,t,3,4.87,141.0,8319.0,38.63013698630137,0,1,0,0,1,0,1,1,433.1789767076452,1,0,0,0,0,0,0,1,0,1
4874,22947833,https://www.airbnb.com/rooms/22947833,2021-12-17,96122546,2016-09-21,278,Centro Storico,43.77582,11.25328,Entire home/apt,4,2.0,54.0,2.0,17,47,77,352,56,6,2,,t,92,1.23,51.0,2754.0,13.972602739726028,0,1,1,0,0,0,1,1,373.21250092144464,1,0,0,0,0,0,0,1,1,1
4875,22951975,https://www.airbnb.com/rooms/22951975,2021-12-17,96122546,2016-09-21,278,Centro Storico,43.7759,11.24536,Entire home/apt,6,2.0,68.0,2.0,19,49,79,216,71,9,0,,t,92,1.58,85.5,5814.0,23.424657534246577,0,1,1,0,0,0,1,1,911.3623250031072,1,0,0,0,0,0,0,1,1,1
4876,22954029,https://www.airbnb.com/rooms/22954029,2021-12-17,154001147,2017-10-10,1,Rifredi,43.78867,11.23713,Private room,2,1.0,20.0,7.0,30,60,90,365,0,0,0,,f,1,,0.0,0.0,0.0,0,0,0,1,0,0,1,0,2302.225541390587,0,0,0,1,0,0,0,0,0,1
4877,22970706,https://www.airbnb.com/rooms/22970706,2021-12-17,170249022,2018-01-27,1,Centro Storico,43.78377,11.23738,Private room,2,1.0,40.0,1.0,0,1,1,43,144,10,0,,t,1,3.21,16.0,640.0,4.383561643835616,0,0,0,1,0,0,1,1,1911.130375858233,1,0,0,0,0,0,0,0,0,1
4878,22983926,https://www.airbnb.com/rooms/22983926,2021-12-17,62822511,2016-03-13,12,Centro Storico,43.76683,11.25104,Entire home/apt,4,2.0,177.0,3.0,18,41,61,227,31,9,1,,t,10,0.69,81.0,14337.0,22.19178082191781,0,1,1,0,0,0,1,1,802.9948525695618,1,0,0,0,0,0,0,1,1,1
4879,23002094,https://www.airbnb.com/rooms/23002094,2021-12-17,78619999,2016-06-19,1,Rifredi,43.78609,11.25114,Private room,1,1.0,30.0,1.0,0,0,0,0,1,0,0,,f,1,0.02,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1495.3804333025737,0,0,0,1,0,0,0,0,0,1
4880,23009217,https://www.airbnb.com/rooms/23009217,2021-12-17,168293279,2018-01-17,1,Centro Storico,43.76942,11.26279,Entire home/apt,3,,70.0,1.0,12,12,12,12,55,8,2,,t,1,1.22,48.0,3360.0,13.150684931506849,0,1,0,1,0,0,1,1,682.676956519048,1,0,0,0,0,0,0,1,0,1
