CODREG,REGIONE,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,NSEZ,ACE,CODLOC,CODASC,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P64,P65,P66,P128,P129,P130,P131,P132,P135,P136,P137,P138,P139,P140,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,A2,A3,A5,A6,A7,A44,A46,A47,A48,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061177","61177","14","10002","1","256","120","136","125","89","5","25","12","59","47","3","8","3","11","14","7","11","15","14","20","22","23","18","23","18","15","16","10","19","4","8","2","6","7","6","12","9","12","7","13","10","8","5","6","5","240","52","72","60","33","20","3","113","24","31","35","12","10","1","126","121","4","65","61","3","98","41","16","17","9","26","18","121","14","39","14","92","46","35","49","8","17","25","4","16","5","11","59","1","0","92","130","150","0","149","1","11926","50","75","10","135","256","77","29","11","7","6","5","30","52","52","32","20","31","1","0","29","2","1","0","0","0","0","0","0","2","1","7","22","0","4","2","14","4","8","333","3","24","5","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061178","61178","43","10002","4","98","49","49","46","36","1","13","2","27","20","0","2","0","9","1","3","4","2","4","11","9","5","8","5","9","7","2","6","13","7","1","0","4","2","1","4","4","2","5","2","6","5","1","3","2","88","9","31","30","15","3","0","41","3","15","19","4","0","0","48","46","2","25","23","2","37","16","6","5","4","6","3","38","14","20","9","5","0","1","4","0","0","0","0","3","1","1","0","0","0","5","48","1","0","1","0","3417","1","41","7","49","98","23","10","10","5","1","0","0","8","8","8","0","0","8","0","0","0","8","0","0","0","0","0","0","0","0","4","4","0","0","1","6","1","0","55","0","8","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061179","61179","21","10002","2","306","132","174","113","140","2","36","15","56","67","0","4","5","12","12","11","11","17","8","14","16","25","18","34","21","17","19","20","51","6","9","5","6","8","6","4","7","9","10","14","6","7","8","9","18","293","115","107","37","19","14","1","125","55","37","19","5","9","0","140","135","3","63","60","2","131","49","15","24","11","15","6","129","24","77","32","18","2","2","9","7","1","0","1","7","0","7","4","0","0","18","131","0","0","0","0","15776","9","107","23","139","306","49","44","25","14","5","2","13","35","35","20","15","17","3","0","3","6","9","2","0","0","0","0","0","2","1","4","13","3","0","8","1","5","3","154","14","5","1","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061180","61180","21","10002","2","271","121","150","118","116","4","23","10","56","57","1","4","3","10","9","9","13","20","16","15","18","13","18","31","17","21","17","16","28","2","4","3","7","14","9","7","8","5","7","15","8","7","11","6","8","259","123","81","31","16","8","0","118","55","41","15","4","3","0","142","138","3","75","72","2","101","37","10","33","20","12","3","132","18","46","14","28","11","11","16","1","6","4","1","12","1","4","11","0","0","28","120","0","0","0","0","17997","12","95","18","125","271","56","24","23","16","2","4","24","32","32","23","9","18","4","1","11","9","1","1","1","0","0","0","0","0","10","5","8","6","3","5","3","2","4","143","17","6","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061181","61181","43","10002","4","49","25","24","20","26","0","3","0","12","12","0","1","0","1","1","5","1","1","3","0","4","6","2","2","5","6","1","4","7","1","0","3","0","1","2","0","2","2","2","0","2","5","1","1","3","47","4","15","12","14","2","0","24","3","8","6","7","0","0","21","20","1","12","12","0","21","9","4","2","1","2","0","22","4","13","8","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","18","1","0","1","0","1678","0","18","1","19","49","4","6","4","4","1","0","0","6","6","6","0","6","0","0","0","0","6","0","0","0","0","0","0","0","6","0","0","0","2","4","0","0","0","19","0","6","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061182","61182","43","10002","4","74","45","29","31","25","4","8","6","21","13","4","3","4","1","4","0","3","1","4","2","2","6","3","1","4","2","3","12","26","0","3","0","1","1","2","1","1","2","2","1","1","1","3","9","17","72","8","16","15","25","8","0","44","3","7","10","18","6","0","17","17","0","7","7","0","52","35","1","5","2","9","7","22","3","37","26","3","1","1","2","0","0","1","0","3","0","0","0","0","0","3","31","0","0","0","0","2092","19","15","7","41","66","28","6","3","3","1","0","0","6","6","4","2","3","1","0","3","0","0","1","0","0","0","0","0","0","1","1","2","1","1","0","0","0","2","40","1","3","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061183","61183","25","10002","2","134","63","71","63","50","7","9","5","30","25","5","1","2","5","4","6","3","9","5","3","7","15","13","14","8","14","10","8","10","2","2","3","1","2","2","3","5","7","8","6","3","8","5","1","5","128","19","34","35","29","6","5","61","11","18","17","10","2","3","56","53","2","33","32","1","63","23","8","8","1","14","7","62","9","33","15","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","61","2","0","2","0","5072","35","26","2","63","134","23","18","13","9","0","0","0","14","12","6","6","4","2","0","0","0","4","1","1","0","0","0","0","1","2","0","3","0","0","2","2","0","2","68","5","1","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061184","61184","11","10002","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061185","61185","43","10002","4","205","92","113","81","90","5","19","10","41","42","2","3","4","10","6","4","4","9","12","13","15","12","24","9","7","13","17","18","32","5","4","1","1","7","7","7","7","4","11","5","1","4","8","9","11","194","28","57","54","40","12","3","87","15","29","23","14","5","1","89","81","7","42","38","3","96","40","10","4","2","18","11","76","10","64","27","15","4","9","6","0","3","1","0","3","4","7","1","0","0","15","95","0","0","0","0","7188","15","76","7","98","205","35","33","19","9","1","1","6","8","8","7","1","3","4","0","1","2","0","1","3","0","0","0","0","1","1","4","1","1","0","1","1","2","2","96","0","5","2","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170061186","61186","12","10002","1","112","57","55","59","43","0","7","3","32","22","0","1","2","3","5","4","5","7","11","12","12","9","7","13","2","7","3","4","8","2","2","3","1","4","6","6","8","4","4","8","1","2","2","2","2","109","34","40","24","6","5","0","55","18","20","13","2","2","0","57","54","2","36","35","1","43","14","5","10","2","11","5","52","8","17","7","32","16","13","18","1","6","9","1","7","1","2","22","0","0","32","50","0","0","0","0","5115","17","24","9","50","105","22","13","5","8","2","0","0","25","25","17","8","17","0","0","12","5","0","0","0","0","0","0","0","1","1","1","14","1","2","6","3","5","0","101","1","15","1","0"
