air_e27_per100,air_e27_per1000,air_per_e27_units,pol3_per100,pol2_per100,pol1_per100,pol3_per_air_listings,pol2_per_air_listings,pol1_per_air_listings,census_tract_id,count_per_100,cont_per_1000,count_airbnb_listings,P1_x,thousand,hundred,count_per_pop,AGG_COUNT,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,P1_y,A46,A47,PF1,E3,E27,calculated_host_listings_count,bedrooms,accommodates
0.793650793650794,7.936507936507936,0.007936507936508,0.000000000000000,100.000000000000000,100.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,"480170060001",0.398406374501992,3.984063745019920,"3","753",1000.000000000000000,100.000000000000000,0.003984063745020,"3","3","3","0","753","60","276","348","120","378","5","12","22"
0.724637681159420,7.246376811594203,0.007246376811594,0.000000000000000,50.000000000000000,100.000000000000000,0.000000000000000,0.500000000000000,1.000000000000000,"480170060004",0.395256916996047,3.952569169960474,"2","506",1000.000000000000000,100.000000000000000,0.003952569169960,"2","2","1","0","506","44","160","232","80","276","4","4","7"
7.142857142857142,71.428571428571431,0.071428571428571,0.000000000000000,100.000000000000000,100.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,"480170060005",33.333333333333329,333.333333333333258,"1","3",1000.000000000000000,100.000000000000000,0.333333333333333,"1","1","1","0","3","2","0","3","1","14","1","2","5"
1.587301587301587,15.873015873015872,0.015873015873016,100.000000000000000,75.000000000000000,100.000000000000000,1.000000000000000,0.750000000000000,1.000000000000000,"480170060011",1.098901098901099,10.989010989010987,"4","364",1000.000000000000000,100.000000000000000,0.010989010989011,"4","4","3","4","364","28","76","144","144","252","33","9","24"
4.166666666666666,41.666666666666664,0.041666666666667,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,"480170060014",1.470588235294118,14.705882352941176,"1","68",1000.000000000000000,100.000000000000000,0.014705882352941,"1","1","0","0","68","6","24","32","9","24","1","1","2"
1.030927835051546,10.309278350515465,0.010309278350515,0.000000000000000,100.000000000000000,100.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,"480170060031",0.689655172413793,6.896551724137931,"1","145",1000.000000000000000,100.000000000000000,0.006896551724138,"1","1","1","0","145","10","49","67","24","97","1","2","4"
0.847457627118644,8.474576271186441,0.008474576271186,100.000000000000000,100.000000000000000,100.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,"480170060033",0.366300366300366,3.663003663003663,"1","273",1000.000000000000000,100.000000000000000,0.003663003663004,"1","1","1","1","273","9","79","104","61","118","3","2","4"
1.086956521739130,10.869565217391305,0.010869565217391,0.000000000000000,100.000000000000000,100.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,"480170060037",0.515463917525773,5.154639175257732,"1","194",1000.000000000000000,100.000000000000000,0.005154639175258,"1","1","1","0","194","9","69","89","17","92","1","1","4"
0.490196078431373,4.901960784313726,0.004901960784314,0.000000000000000,50.000000000000000,100.000000000000000,0.000000000000000,0.500000000000000,1.000000000000000,"480170060039",0.228310502283105,2.283105022831050,"2","876",1000.000000000000000,100.000000000000000,0.002283105022831,"2","2","1","0","876","170","206","404","112","408","3","2","5"
11.111111111111111,111.111111111111100,0.111111111111111,0.000000000000000,100.000000000000000,100.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,"480170060044",,,"2","0",1000.000000000000000,100.000000000000000,,"2","2","2","0","0","0","0","0","6","18","4","2","7"
4.347826086956522,43.478260869565219,0.043478260869565,100.000000000000000,100.000000000000000,100.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,"480170060049",1.492537313432836,14.925373134328360,"1","67",1000.000000000000000,100.000000000000000,0.014925373134328,"1","1","1","1","67","1","21","25","7","23","4","2","6"
1.886792452830189,18.867924528301884,0.018867924528302,0.000000000000000,100.000000000000000,100.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,"480170060053",1.010101010101010,10.101010101010102,"1","99",1000.000000000000000,100.000000000000000,0.010101010101010,"1","1","1","0","99","14","35","54","16","53","1","2","6"
0.806451612903226,8.064516129032258,0.008064516129032,0.000000000000000,100.000000000000000,100.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,"480170060058",0.529100529100529,5.291005291005291,"2","378",1000.000000000000000,100.000000000000000,0.005291005291005,"2","2","2","0","378","10","82","132","106","248","2","6","10"
1.562500000000000,15.625000000000000,0.015625000000000,100.000000000000000,76.923076923076934,100.000000000000000,1.000000000000000,0.769230769230769,1.000000000000000,"480170060059",1.724137931034483,17.241379310344826,"13","754",1000.000000000000000,100.000000000000000,0.017241379310345,"13","13","10","13","754","39","117","260","286","832","177","18","47"
1.204819277108434,12.048192771084338,0.012048192771084,75.000000000000000,100.000000000000000,75.000000000000000,0.750000000000000,1.000000000000000,0.750000000000000,"480170060061",0.769230769230769,7.692307692307693,"4","520",1000.000000000000000,100.000000000000000,0.007692307692308,"4","3","4","3","520","36","156","244","92","332","10","7","14"
50.000000000000000,500.000000000000000,0.500000000000000,0.000000000000000,50.000000000000000,100.000000000000000,0.000000000000000,0.500000000000000,1.000000000000000,"480170060062",100.000000000000000,1000.000000000000000,"2","2",1000.000000000000000,100.000000000000000,1.000000000000000,"2","2","1","0","2","0","2","2","4","4","4","3","6"
0.806451612903226,8.064516129032258,0.008064516129032,100.000000000000000,100.000000000000000,100.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,"480170060068",0.458715596330275,4.587155963302752,"1","218",1000.000000000000000,100.000000000000000,0.004587155963303,"1","1","1","1","218","27","53","98","58","124","6","5","10"
